claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-127121,RAA-195763,Bobby Guerrero,sean62@example.net,0439 790 956,Motor Accident,13/11/2024,Expedita aliquam sit explicabo voluptatum earum voluptatem veniam asperiores odit facilis reiciendis perspiciatis.,43352.33,59974.43,Withdrawn,12-22-2024,Brenda Lawson
CLM-593355,RAA-644173,Cameron Young,michael90@example.net,0493 552 384,Theft,26/11/2025,Perspiciatis veniam fuga quis nemo minus id officiis dolorum.,74772.44,48891.85,Open,12-25-2025,Noah Porter
CLM-999398,RAA-268637,Autumn Hampton,nlewis@example.com,0452 521 810,Storm Damage,24/01/2025,Dicta consequatur asperiores cupiditate quae voluptatum repellat voluptas voluptates pariatur quae mollitia enim error.,21972.23,48851.25,Declined,02-13-2025,
CLM-221552,RAA-910075,Tammy Little,william13@example.org,0461 985 626,Motor Accident,30/07/2024,Ratione ad mollitia fuga rem mollitia nostrum assumenda est voluptatum.,74114.88,32647.1,Paid,,
CLM-755788,RAA-563513,Jason Ortiz,martinezlogan@example.org,0416 308 373,Fire,09/10/2025,Iure maxime consectetur repudiandae mollitia nesciunt quisquam consectetur magnam sit rerum maxime esse cum.,10260.49,52874.63,Paid,12-18-2025,
CLM-844261,RAA-266071,Hannah Everett,meghan43@example.net,0449 664 114,Fire,26/03/2026,Earum numquam nostrum atque odit nihil neque cupiditate numquam temporibus excepturi unde aliquam sint aspernatur.,30895.31,50516.06,Open,05-02-2026,Patricia Baker
CLM-851413,RAA-406039,Jennifer Fowler,ismall@example.com,0475 822 379,Storm Damage,09/09/2024,Laboriosam rem placeat error asperiores animi ipsam laborum dignissimos non est.,62686.93,14775.11,Declined,11-18-2024,
CLM-243139,RAA-173201,William Reed,xanderson@example.net,0445 891 908,Motor Accident,08/10/2025,Autem dolores commodi ipsum consequuntur amet veniam sint in vitae temporibus repellendus ut quam deleniti.,31413.21,30562.71,Open,01-18-2026,Zachary Owens
CLM-613425,RAA-255813,Alexander Landry,nlevy@example.net,0467 651 595,Water Damage,10/02/2026,Aliquid eligendi nisi sapiente perferendis enim ab autem consequatur eaque facilis illo.,25266.78,22757.16,Approved,05-12-2026,Anthony Hoffman
CLM-501574,RAA-344907,Angel Gordon,marcia99@example.org,0462 144 425,Liability,05/01/2025,Voluptate hic recusandae excepturi vel quidem dicta magni magnam.,35736.73,22997.62,Withdrawn,,Chad Cook
CLM-138817,RAA-232378,Brittany Barry,markaustin@example.org,0474 704 439,Motor Accident,01/04/2025,Voluptatibus qui error excepturi repudiandae minus provident error repellendus fuga perferendis voluptatem nesciunt.,7977.16,6162.76,Paid,,
CLM-178463,RAA-592296,Shelby Soto,pbaker@example.net,0443 446 738,Liability,08/12/2025,Dolorem amet laboriosam minima quam quo fugit reprehenderit doloribus nemo praesentium deleniti ipsam in impedit.,30112.51,,Approved,01-03-2026,Jonathan Carr
CLM-757246,RAA-853629,Nancy Brown,aprilhoffman@example.net,0472 993 654,Property Damage,31/03/2025,Minima et cupiditate totam exercitationem explicabo quo quam officia possimus nostrum deleniti doloribus nam.,46500.73,41127.09,Approved,05-17-2025,William Evans
CLM-897305,RAA-764532,Melissa Burns,ybailey@example.net,0422 554 270,Liability,09/11/2024,Enim nemo molestiae tempore hic exercitationem quo corporis aliquam veritatis aspernatur.,22810.22,,Approved,11-28-2024,Mary Burgess
CLM-356059,RAA-656968,Joshua Fitzpatrick,derrick99@example.org,0462 679 798,Motor Accident,12/09/2024,Amet temporibus dolorem doloremque aut ex iusto perspiciatis consequuntur vitae.,13914.24,,Declined,10-07-2024,Brooke Delgado
CLM-711484,RAA-250069,Karen Gonzalez,manuel01@example.net,0439 572 753,Water Damage,12/02/2026,Doloremque qui sed alias ullam in saepe ut alias saepe ratione delectus quibusdam sit enim.,34738.0,53954.73,Paid,,Edwin Morrison
CLM-563187,RAA-462351,Mrs. Virginia Daniels,ismall@example.net,0485 406 754,Storm Damage,21/03/2026,Earum repellat ex quasi officia quaerat accusamus excepturi eos perferendis deserunt nostrum odit illo.,51928.36,18266.88,Paid,,Garrett Morales
CLM-702733,RAA-410244,Charles Morris,adamreyes@example.com,0499 402 122,Motor Accident,12/06/2024,Veritatis error quam accusamus officiis possimus aperiam blanditiis esse illo magnam.,49538.12,34042.56,Withdrawn,08-03-2024,Michele Collins
